Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
62	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99682	0.0305387	-99.6685	-100.04957	630000	3.0517577e-09	0.0009539547	-0.00401338	-4.5135326e-05	0.38282657	0.004970492	0.0423	79.0	4891.05114865303
63	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00164	0.027768616	-99.90732	-100.0513	640000	3.0994416e-09	0.0007937437	-0.0038735054	-3.228488e-05	0.338196	0.004817323	0.0307	79.0	4968.330400466919
64	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00069	0.0296925	-99.821785	-100.04853	650000	7.05719e-09	0.00089182577	-0.004034508	-3.7533115e-05	0.3265533	0.0055287248	0.0576	79.0	5045.873362541199
65	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99888	0.02332879	-99.84959	-100.04663	660000	5.722046e-09	0.00054321776	-0.0048187184	-1.6423583e-05	0.30026004	0.005866847	0.0367	79.0	5123.580892801285
66	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.998924	0.03087436	-99.83006	-100.04738	670000	-2.2888185e-09	0.0009505175	-0.006193339	-5.5023993e-05	0.31092924	0.0123118535	0.0518	79.0	5201.179297208786
67	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00354	0.0323655	-99.80852	-100.04732	680000	-9.536743e-09	0.00106845	-0.0034412376	-8.133415e-05	0.28899163	0.005267556	0.0421	79.0	5278.928916692734
68	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00024	0.026049357	-99.88502	-100.04135	690000	5.722046e-10	0.0006702354	-0.008294849	-2.4115434e-05	0.29445654	0.013009972	0.0552	79.0	5356.819405794144
69	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99197	0.027505301	-99.86724	-100.03947	700000	2.0980835e-09	0.0008014693	-0.004204751	-7.954793e-05	0.3621881	0.0067512603	0.0565	79.0	5434.337244272232
70	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.004395	0.021488607	-99.92891	-100.04639	710000	2.4795532e-09	0.0004808836	-0.003133433	-3.5209523e-05	0.33188787	0.0042011146	0.0333	79.0	5511.919180870056
71	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99762	0.02391317	-99.90514	-100.04176	720000	5.340576e-09	0.0005721214	-0.0049588326	-2.5063579e-05	0.35890353	0.012799749	0.0549	79.0	5589.633547306061
72	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99949	0.020747181	-99.83293	-100.0423	730000	-1.0681152e-08	0.0004301706	-0.0038450265	-1.2060656e-05	0.38618246	0.0048066652	0.0185	79.0	5666.723958969116
73	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99991	0.019672507	-99.87386	-100.043335	740000	8.773804e-09	0.00039480903	-0.0033753677	-9.72196e-06	0.38615397	0.004011621	0.0201	79.0	5743.964433193207
74	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00037	0.019793127	-99.90767	-100.042114	750000	5.340576e-09	0.0003911486	-0.0032157777	-1.0271266e-05	0.38187352	0.005837416	0.0261	79.0	5821.469657421112
75	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99996	0.020461982	-99.87879	-100.04132	760000	-6.1035155e-09	0.00042331323	-0.0051338584	-1.1916622e-05	0.3798849	0.011275661	0.0255	79.0	5898.739550590515
76	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99777	0.024000583	-99.80818	-100.040634	770000	-2.2888185e-09	0.0005832243	-0.0051577394	-3.4148456e-05	0.38630483	0.011606351	0.0488	79.0	5976.506427049637
77	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00302	0.019815177	-99.89708	-100.04198	780000	-1.0871887e-08	0.00040239992	-0.0025937827	-2.2791792e-05	0.3801113	0.004225808	0.0257	79.0	6054.816673755646
78	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99802	0.02185872	-99.86312	-100.03895	790000	6.4849854e-09	0.0004882271	-0.0023690935	-1.9358442e-05	0.3539677	0.008868139	0.0296	79.0	6133.409826993942
79	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.9981	0.019264488	-99.906136	-100.039665	800000	5.912781e-09	0.00038042272	-0.0028201276	-1.4541845e-05	0.43365484	0.0056297113	0.0242	79.0	6211.389908313751
80	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.9982	0.021387381	-99.87846	-100.04046	810000	-4.577637e-09	0.00047297325	-0.00487922	-2.2899621e-05	0.41198546	0.0075426726	0.0482	79.0	6289.904428243637
81	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00265	0.019940693	-99.85216	-100.041306	820000	-1.1444092e-09	0.00041054736	-0.0042989594	-2.7304428e-05	0.41556874	0.0139200315	0.0657	79.0	6369.827783107758
82	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99924	0.018804232	-99.92514	-100.03816	830000	-3.6239625e-09	0.00035210385	-0.003983328	-1.2895907e-05	0.43702626	0.015220517	0.1185	77.0	6449.663114309311
83	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.9997	0.01962716	-99.8987	-100.037445	840000	1.1444092e-09	0.0003820065	-0.0040336763	-1.897596e-05	0.46758515	0.007859453	0.0685	79.0	6529.868656635284
